Sample Name	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
C001_Swab_FD3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_FD3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_FD3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33245558	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	8.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23028553	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-44_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-44_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-44_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	12.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	22151691	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-92_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-92_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-92_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.59	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30038397	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+1_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+1_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+1_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	20.34	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	21973478	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+45_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+45_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+45_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	6.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33706136	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+82_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+82_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+82_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	9.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27949694	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_FD2_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_FD2_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_FD2_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	38.79	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	14018464	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_FD3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_FD3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_FD3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	39.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	14539194	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_L-3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	30.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20225126	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_L-44_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-44_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-44_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	38.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20544185	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_L-92_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-92_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-92_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	48.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	15644288	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+1_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+1_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+1_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	43.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	14928277	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+45_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+45_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+45_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	17.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24575308	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+82_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+82_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+82_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	12.99	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25072702	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_FD2_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_FD2_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_FD2_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	6.34	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26882897	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_FD3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_FD3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_FD3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29060903	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	32458485	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-44_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-44_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-44_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27603231	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-92_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-92_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-92_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.55	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	31343643	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+1_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+1_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+1_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	32808157	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+45_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+45_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+45_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	36489766	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+82_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+82_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+82_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	32942079	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_FD2_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_FD2_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_FD2_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	4.1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25551488	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_FD3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_FD3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_FD3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	8.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	31948529	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-3_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-3_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-3_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	11.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19537654	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-44_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-44_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-44_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	9.63	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29615601	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-92_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-92_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-92_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	27.34	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24279030	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_R+1_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_R+1_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_R+1_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	5.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27641563	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_R+45_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_R+45_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_R+45_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33071029	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_R+82_NAP	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_R+82_NAP_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_R+82_NAP_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.7	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	34914370	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_FD2_UMB	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_FD2_UMB_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_FD2_UMB_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	14.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26244642	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
